,contagion_id,contagion_date
0,1,2020-10-22
1,2,2021-10-06
2,3,2021-06-26
3,4,2021-09-07
4,5,2021-08-10
5,6,2020-11-18
6,7,2021-07-28
7,8,2020-10-22
8,9,2021-02-02
9,10,2020-12-09
10,11,2021-05-15
11,12,2020-12-29
12,13,2021-08-17
13,14,2020-12-12
14,15,2021-09-17
15,16,2021-07-31
16,17,2021-01-22
17,18,2020-12-18
18,19,2021-01-15
19,20,2021-08-14
20,21,2021-10-07
21,22,2021-08-13
22,23,2020-11-13
23,24,2021-02-28
24,25,2021-05-01
25,26,2021-03-13
26,27,2021-04-26
27,28,2021-04-14
28,29,2021-07-07
29,30,2021-02-09
30,31,2021-04-06
31,32,2021-01-28
32,33,2021-03-21
33,34,2021-05-04
34,35,2020-12-07
35,36,2020-11-23
36,37,2021-04-04
37,38,2021-08-04
38,39,2020-12-09
39,40,2021-09-08
40,41,2021-06-30
41,42,2021-08-21
42,43,2021-03-24
43,44,2020-11-10
44,45,2021-04-30
45,46,2021-03-18
46,47,2020-12-16
47,48,2021-09-06
48,49,2020-11-19
49,50,2021-04-06
50,51,2021-10-09
51,52,2020-11-19
52,53,2021-09-16
53,54,2021-03-17
54,55,2020-12-06
55,56,2020-11-04
56,57,2021-10-08
57,58,2020-11-06
58,59,2021-05-04
59,60,2020-11-28
60,61,2020-11-25
61,62,2021-07-27
62,63,2021-10-04
63,64,2021-01-03
64,65,2021-05-20
65,66,2020-11-16
66,67,2021-04-05
67,68,2021-06-01
68,69,2021-07-25
69,70,2021-01-09
70,71,2021-05-07
71,72,2021-08-19
72,73,2021-01-26
73,74,2021-03-09
74,75,2021-06-13
75,76,2021-10-15
76,77,2021-03-09
77,78,2021-10-11
78,79,2021-05-03
79,80,2021-08-22
80,81,2021-05-13
81,82,2021-03-13
82,83,2021-09-04
83,84,2021-03-10
84,85,2021-09-18
85,86,2021-02-14
86,87,2021-05-26
87,88,2021-09-30
88,89,2021-01-17
89,90,2020-10-07
90,91,2020-12-15
91,92,2021-08-21
92,93,2021-03-01
93,94,2020-10-29
94,95,2021-06-21
95,96,2021-09-21
96,97,2020-11-23
97,98,2021-09-05
98,99,2020-12-12
99,100,2020-12-28
