contagion_id,contagion_place_id
1,48
2,13
3,99
4,70
5,5
6,38
7,20
8,28
9,31
10,89
11,26
12,83
13,15
14,94
15,14
16,48
17,48
18,41
19,23
20,70
21,53
22,21
23,5
24,41
25,56
26,47
27,93
28,23
29,25
30,97
31,49
32,5
33,75
34,64
35,26
36,17
37,59
38,60
39,38
40,44
41,55
42,48
43,53
44,10
45,72
46,68
47,17
48,70
49,9
50,90
51,20
52,86
53,35
54,36
55,62
56,88
57,33
58,73
59,87
60,67
61,82
62,13
63,61
64,38
65,82
66,9
67,6
68,46
69,10
70,45
71,55
72,47
73,63
74,53
75,46
76,90
77,45
78,81
79,29
80,5
81,86
82,59
83,100
84,56
85,6
86,43
87,7
88,75
89,4
90,43
91,68
92,73
93,38
94,4
95,54
96,24
97,76
98,86
99,91
100,81
