,person_id_1,person_id_2,meeting_date,place_name,place_category
0,83,68,2021-02-05,Pan,Theater
1,43,66,2021-10-10,Pan,Theater
2,37,85,2021-07-23,SEVEN,Club
3,76,85,2021-08-31,Leonardo da Vinci,School
4,22,97,2020-12-16,Leonardo da Vinci,School
5,31,36,2021-08-12,Al barilotto Lugano,Restaurant
6,23,46,2021-05-26,Iride,Cinema
7,7,31,2021-07-11,Iride,Cinema
8,24,43,2021-01-06,Trani,Restaurant
9,89,34,2021-06-28,Trani,Restaurant
10,28,25,2021-10-28,Sant'Anna,School
11,70,37,2021-05-09,Grotto Morchino,Restaurant
12,69,20,2021-06-02,Grotto Morchino,Restaurant
13,70,50,2021-09-09,Zurich-Geneva,Train
14,53,89,2021-05-24,Zurich-Geneva,Train
15,31,27,2021-09-25,Delle radici,Theater
16,8,99,2020-12-03,Everest Accademy,School
17,14,26,2021-09-20,CSIA,School
18,4,62,2021-10-10,Nikka,Club
19,42,21,2021-04-18,Cinestar,Cinema
20,6,46,2021-08-26,Cantonale Lugano 1,School
21,13,83,2021-10-20,La Tinera,Restaurant
22,5,90,2021-01-08,La Tinera,Restaurant
23,72,87,2020-10-27,Underground,Club
