person_id_1,person_id_2
7,55
92,69
99,19
21,83
93,99
18,37
53,48
18,46
78,29
56,99
28,75
82,32
94,2
82,18
39,83
4,2
80,50
12,50
98,55
57,19
47,94
9,34
8,75
28,72
94,1
90,70
94,18
18,8
98,41
13,77
93,77
92,14
87,64
13,82
71,71
98,87
62,41
64,41
15,27
27,88
40,55
62,80
88,42
100,61
26,91
96,51
67,4
41,22
6,79
43,29
83,94
69,8
54,40
79,70
30,43
51,40
69,6
12,94
9,9
88,5
14,6
35,28
24,66
21,2
13,100
29,38
88,56
6,99
74,78
27,46
80,61
81,3
53,16
80,97
50,14
27,39
19,23
93,3
77,25
9,34
80,40
51,21
94,74
100,48
95,32
33,54
78,10
7,73
8,70
5,58
75,86
13,1
50,70
80,15
50,60
69,65
34,57
45,93
27,24
93,98
